Sat Jan 30 14:38:03 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_16_4 40 16 4

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,108439.600925,1875.757912,157661.691789,9256.373361
1,109880.363346,1763.267067,122090.586654,9244.440519
2,109405.642258,1758.766363,114530.882309,9212.177868
3,109495.631488,1761.416087,118597.515647,9255.242429
4,109357.865098,1757.496584,109916.268684,9224.756653

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,109315.820623,475.107789,1783.340802,46.252344,124559.389017,17043.434442,9238.598166,17.416899

