Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6115,0.5449,0.0666
2,0.6495,0.6212,0.0283
3,0.703,0.6639,0.0391
4,0.7485,0.7116,0.0369
5,0.74,0.7412,0.0012
6,0.7755,0.7589,0.0166
7,0.7755,0.7707,0.0048
8,0.7925,0.7895,0.003
9,0.813,0.8054,0.0076
10,0.823,0.8138,0.0092
11,0.824,0.8236,0.0004
12,0.816,0.8375,0.0215
13,0.8285,0.8393,0.0108
14,0.8465,0.8505,0.004
15,0.842,0.8586,0.0166
16,0.853,0.8609,0.0079
17,0.844,0.873,0.029
18,0.8595,0.8735,0.014
19,0.8345,0.8794,0.0449
20,0.8595,0.8873,0.0278
21,0.861,0.883,0.022
22,0.8615,0.8899,0.0284
23,0.863,0.899,0.036
24,0.871,0.9011,0.0301
25,0.855,0.9085,0.0535
26,0.861,0.9011,0.0401
27,0.8495,0.9119,0.0624
28,0.875,0.9125,0.0375
29,0.875,0.9133,0.0383
30,0.87,0.9144,0.0444
31,0.8775,0.9256,0.0481
32,0.8645,0.9204,0.0559
33,0.868,0.9271,0.0591
34,0.865,0.9315,0.0665
35,0.8695,0.9276,0.0581
36,0.856,0.9308,0.0748
37,0.8795,0.9386,0.0591
38,0.8755,0.936,0.0605
39,0.876,0.9349,0.0589
40,0.87,0.9433,0.0732
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.4975,0.506,0.0085
2,0.595,0.5479,0.0471
3,0.6395,0.6346,0.0049
4,0.6265,0.6734,0.0469
5,0.703,0.7021,0.0009
6,0.7485,0.7416,0.0069
7,0.758,0.7538,0.0042
8,0.769,0.7685,0.0005
9,0.765,0.7676,0.0026
10,0.761,0.7936,0.0326
11,0.7545,0.8001,0.0456
12,0.805,0.8051,0.0001
13,0.8005,0.807,0.0065
14,0.8085,0.8261,0.0176
15,0.817,0.8295,0.0125
16,0.796,0.832,0.036
17,0.8,0.8399,0.0399
18,0.8,0.8496,0.0496
19,0.826,0.8547,0.0288
20,0.825,0.8555,0.0305
21,0.8315,0.8635,0.032
22,0.8345,0.8605,0.026
23,0.813,0.869,0.056
24,0.8015,0.8821,0.0806
25,0.8245,0.8832,0.0587
26,0.824,0.8848,0.0608
27,0.7965,0.8827,0.0862
28,0.8105,0.8956,0.0851
29,0.8255,0.8953,0.0698
30,0.823,0.8957,0.0727
31,0.8035,0.9021,0.0986
32,0.812,0.9057,0.0938
33,0.819,0.9,0.081
34,0.818,0.9107,0.0927
35,0.8235,0.9112,0.0878
36,0.8165,0.9145,0.098
37,0.8105,0.9206,0.1101
38,0.829,0.9195,0.0905
39,0.8215,0.9231,0.1016
40,0.8285,0.9236,0.0951
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.588,0.537,0.051
2,0.5935,0.6066,0.0131
3,0.6845,0.6478,0.0367
4,0.657,0.673,0.016
5,0.698,0.7019,0.0039
6,0.743,0.7314,0.0116
7,0.7755,0.754,0.0215
8,0.795,0.7765,0.0185
9,0.8015,0.7897,0.0118
10,0.808,0.7999,0.0081
11,0.804,0.816,0.012
12,0.8245,0.8313,0.0067
13,0.7785,0.835,0.0565
14,0.8395,0.8445,0.005
15,0.8385,0.8522,0.0137
16,0.8445,0.8489,0.0044
17,0.8415,0.8651,0.0236
18,0.837,0.8648,0.0278
19,0.8195,0.8671,0.0476
20,0.8445,0.8735,0.029
21,0.8445,0.8811,0.0366
22,0.843,0.8819,0.0389
23,0.8585,0.8944,0.0359
24,0.845,0.9003,0.0552
25,0.846,0.9014,0.0554
26,0.857,0.906,0.049
27,0.8665,0.9104,0.0439
28,0.8575,0.908,0.0505
29,0.861,0.9186,0.0576
30,0.8495,0.9186,0.0691
31,0.846,0.9199,0.0739
32,0.8665,0.9216,0.0551
33,0.858,0.925,0.067
34,0.8515,0.9304,0.0789
35,0.8555,0.9352,0.0798
36,0.828,0.9305,0.1025
37,0.8525,0.9371,0.0846
38,0.859,0.9323,0.0732
39,0.8605,0.9391,0.0786
40,0.854,0.9366,0.0826
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6295,0.5591,0.0704
2,0.6545,0.6361,0.0184
3,0.7185,0.6816,0.0369
4,0.7475,0.7265,0.021
5,0.762,0.7516,0.0104
6,0.781,0.7735,0.0075
7,0.784,0.7804,0.0036
8,0.802,0.7961,0.0059
9,0.823,0.8134,0.0096
10,0.813,0.8199,0.0069
11,0.831,0.8346,0.0036
12,0.808,0.843,0.035
13,0.846,0.8479,0.0019
14,0.852,0.8544,0.0024
15,0.854,0.8652,0.0113
16,0.8365,0.877,0.0405
17,0.851,0.8716,0.0206
18,0.854,0.8789,0.0249
19,0.8655,0.8838,0.0183
20,0.866,0.8891,0.0231
21,0.8765,0.8905,0.014
