Epoch,ACC_Test,ACC_Train,Diff_ACC 
22,0.8605,0.8995,0.039
23,0.8695,0.9049,0.0354
24,0.8615,0.9116,0.0501
25,0.875,0.9095,0.0345
26,0.882,0.9165,0.0345
27,0.8705,0.9195,0.049
28,0.8805,0.9208,0.0403
29,0.881,0.93,0.049
30,0.8855,0.9309,0.0454
31,0.882,0.9258,0.0437
32,0.8765,0.929,0.0525
33,0.884,0.9316,0.0476
34,0.8915,0.9302,0.0387
35,0.8615,0.9337,0.0722
36,0.8835,0.9429,0.0594
37,0.8895,0.9359,0.0464
38,0.881,0.941,0.06
39,0.8805,0.9446,0.0641
40,0.883,0.9469,0.0639
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.619,0.5592,0.0598
2,0.6605,0.6478,0.0127
3,0.6935,0.7017,0.0082
4,0.745,0.7236,0.0214
5,0.748,0.7434,0.0046
6,0.748,0.7564,0.0084
7,0.7655,0.7676,0.0021
8,0.796,0.782,0.014
9,0.8035,0.7928,0.0107
10,0.8185,0.8094,0.0091
11,0.82,0.8215,0.0015
12,0.808,0.8241,0.0161
13,0.8165,0.833,0.0165
14,0.8145,0.8405,0.026
15,0.832,0.8494,0.0174
16,0.839,0.8572,0.0182
17,0.846,0.8596,0.0136
18,0.833,0.8624,0.0294
19,0.844,0.8714,0.0274
20,0.8265,0.8699,0.0434
21,0.8435,0.8791,0.0356
22,0.837,0.8866,0.0496
23,0.829,0.8955,0.0665
24,0.8235,0.8857,0.0623
25,0.8515,0.8926,0.0411
26,0.855,0.8992,0.0442
27,0.844,0.898,0.054
28,0.8555,0.9068,0.0513
29,0.8415,0.9124,0.0709
30,0.8405,0.9082,0.0677
31,0.8415,0.9155,0.074
32,0.837,0.9149,0.0779
33,0.859,0.9178,0.0587
34,0.851,0.9252,0.0742
35,0.859,0.9264,0.0674
36,0.863,0.927,0.064
37,0.856,0.9271,0.0711
38,0.8655,0.9348,0.0693
39,0.852,0.935,0.083
40,0.857,0.9317,0.0748
