Sun Jan 31 14:42:14 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_8_4 40 8 4

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,85646.204987,1702.809769,126771.082548,6245.150149
1,87833.781087,1582.819800,103476.016210,6241.551695
2,86460.383211,1580.448148,98415.924962,6220.818457
3,87020.815807,1582.454285,97813.147059,6232.771547
4,87781.692653,1584.729225,89130.595942,6251.409282

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,86948.575549,826.727579,1606.652245,48.097962,103121.353344,12692.477142,6238.340226,10.634955

