Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.583,0.5496,0.0334
2,0.599,0.6277,0.0288
3,0.686,0.6539,0.0321
4,0.7265,0.6833,0.0432
5,0.7035,0.7066,0.0031
6,0.7015,0.7301,0.0286
7,0.762,0.7437,0.0183
8,0.77,0.7581,0.0119
9,0.7415,0.7796,0.0381
10,0.756,0.7859,0.0299
11,0.7905,0.7843,0.0062
12,0.781,0.7991,0.0181
13,0.795,0.8091,0.0141
14,0.786,0.8064,0.0204
15,0.8015,0.8167,0.0152
16,0.8015,0.8189,0.0174
17,0.815,0.8249,0.0099
18,0.8055,0.8275,0.022
19,0.807,0.8409,0.0339
20,0.8105,0.843,0.0325
21,0.8005,0.8472,0.0468
22,0.8395,0.8481,0.0086
23,0.811,0.8471,0.0361
24,0.81,0.8587,0.0487
25,0.8275,0.8547,0.0272
26,0.822,0.8556,0.0336
27,0.8295,0.8544,0.0249
28,0.8315,0.8639,0.0324
29,0.835,0.8744,0.0394
30,0.8325,0.864,0.0315
31,0.832,0.8755,0.0435
32,0.836,0.8752,0.0392
33,0.8355,0.8813,0.0458
34,0.836,0.8831,0.0471
35,0.8385,0.8823,0.0437
36,0.8345,0.8808,0.0462
37,0.827,0.8903,0.0633
38,0.828,0.8932,0.0652
39,0.8425,0.8909,0.0484
40,0.84,0.8985,0.0585
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5455,0.5809,0.0354
2,0.7145,0.6622,0.0523
3,0.739,0.7116,0.0274
4,0.7355,0.7421,0.0066
5,0.759,0.7498,0.0092
6,0.7435,0.7645,0.021
7,0.7715,0.781,0.0095
8,0.743,0.7894,0.0464
9,0.802,0.8004,0.0016
10,0.808,0.8109,0.0029
11,0.8175,0.816,0.0015
12,0.791,0.8183,0.0272
13,0.817,0.8219,0.0049
14,0.827,0.8334,0.0064
15,0.8205,0.8413,0.0207
16,0.779,0.8388,0.0598
17,0.835,0.847,0.012
18,0.839,0.8511,0.0121
19,0.8095,0.8554,0.0459
20,0.837,0.864,0.027
21,0.8365,0.8681,0.0316
22,0.8295,0.8671,0.0376
23,0.8385,0.8675,0.029
24,0.8495,0.873,0.0235
25,0.848,0.8761,0.0281
26,0.8345,0.881,0.0465
27,0.845,0.8758,0.0307
28,0.846,0.8838,0.0378
29,0.8345,0.8901,0.0556
30,0.848,0.8941,0.0461
31,0.841,0.8915,0.0505
32,0.8455,0.9003,0.0548
33,0.8395,0.8953,0.0558
34,0.8375,0.8978,0.0603
35,0.8505,0.908,0.0575
36,0.834,0.9076,0.0736
37,0.8405,0.905,0.0645
38,0.842,0.9096,0.0676
39,0.8275,0.9114,0.0839
40,0.8465,0.9129,0.0664
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6035,0.5685,0.035
2,0.701,0.6514,0.0496
3,0.709,0.6998,0.0092
4,0.7355,0.7197,0.0157
5,0.7405,0.7386,0.0019
6,0.7355,0.7569,0.0214
7,0.769,0.7642,0.0048
8,0.761,0.78,0.019
9,0.78,0.7829,0.0029
10,0.777,0.7876,0.0106
11,0.785,0.8,0.015
12,0.799,0.8138,0.0148
13,0.7895,0.8091,0.0196
14,0.8015,0.8169,0.0154
15,0.8145,0.8219,0.0074
16,0.7965,0.8213,0.0247
17,0.808,0.825,0.017
18,0.808,0.8401,0.0321
19,0.8155,0.8406,0.0251
20,0.8235,0.8485,0.025
21,0.8365,0.8503,0.0138
22,0.8175,0.8545,0.037
23,0.8405,0.8574,0.0169
24,0.841,0.8579,0.0169
25,0.823,0.8594,0.0364
26,0.815,0.861,0.046
27,0.835,0.87,0.035
28,0.805,0.8723,0.0673
29,0.8385,0.8724,0.0339
30,0.834,0.8725,0.0385
31,0.833,0.8789,0.0459
32,0.8255,0.8779,0.0524
33,0.8385,0.882,0.0435
34,0.8405,0.8904,0.0499
35,0.8355,0.888,0.0525
36,0.822,0.8865,0.0645
37,0.8505,0.8915,0.041
38,0.834,0.8954,0.0614
39,0.838,0.8972,0.0592
40,0.8375,0.8969,0.0594
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.606,0.5763,0.0297
2,0.649,0.6376,0.0114
3,0.658,0.6823,0.0243
4,0.734,0.7146,0.0194
5,0.742,0.7356,0.0064
6,0.713,0.747,0.034
7,0.736,0.7711,0.0351
8,0.7915,0.7725,0.019
9,0.7775,0.7835,0.006
10,0.7965,0.7919,0.0046
11,0.7955,0.7997,0.0042
12,0.8125,0.8079,0.0046
13,0.771,0.8133,0.0422
14,0.8135,0.8253,0.0118
15,0.81,0.8236,0.0136
16,0.8005,0.825,0.0245
17,0.8065,0.8288,0.0222
18,0.8145,0.8396,0.0251
19,0.832,0.8411,0.0091
20,0.8245,0.848,0.0235
21,0.8235,0.8536,0.0301
22,0.8285,0.8543,0.0258
23,0.82,0.8629,0.0429
24,0.837,0.8646,0.0276
25,0.837,0.8656,0.0286
26,0.8285,0.872,0.0435
27,0.828,0.8766,0.0486
28,0.8275,0.8796,0.0521
29,0.8365,0.8754,0.0389
30,0.8285,0.8869,0.0584
31,0.83,0.886,0.056
32,0.8195,0.8823,0.0627
33,0.838,0.8906,0.0526
34,0.8255,0.888,0.0625
35,0.832,0.899,0.067
36,0.8195,0.8967,0.0772
37,0.8295,0.907,0.0775
38,0.8295,0.9014,0.0719
39,0.823,0.9056,0.0826
40,0.834,0.9105,0.0765
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5,0.4961,0.0039
2,0.541,0.5076,0.0334
3,0.64,0.6055,0.0345
4,0.6705,0.6666,0.0039
5,0.6855,0.7064,0.0209
6,0.7055,0.7214,0.0159
7,0.692,0.7325,0.0405
8,0.6925,0.7393,0.0468
9,0.729,0.7465,0.0175
10,0.7415,0.753,0.0115
11,0.74,0.762,0.022
