Epoch,ACC_Test,ACC_Train,Diff_ACC 
12,0.756,0.7681,0.0121
13,0.7505,0.7763,0.0257
14,0.761,0.7831,0.0221
15,0.7675,0.7825,0.015
16,0.7765,0.7919,0.0154
17,0.7775,0.7979,0.0204
18,0.769,0.8018,0.0328
19,0.773,0.8096,0.0366
20,0.783,0.8105,0.0275
21,0.7795,0.8202,0.0407
22,0.796,0.8214,0.0254
23,0.77,0.8242,0.0543
24,0.7905,0.8288,0.0383
25,0.794,0.8313,0.0372
26,0.788,0.8407,0.0527
27,0.7935,0.8364,0.0429
28,0.8055,0.8499,0.0444
29,0.8105,0.8559,0.0454
30,0.7985,0.8464,0.0479
31,0.7905,0.8585,0.068
32,0.788,0.8614,0.0734
33,0.803,0.8622,0.0592
34,0.797,0.8612,0.0642
35,0.817,0.8709,0.0539
36,0.802,0.8683,0.0663
37,0.802,0.8677,0.0658
38,0.797,0.8683,0.0713
39,0.779,0.8777,0.0987
40,0.8095,0.874,0.0645
