Fri Jan 29 12:56:36 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_16_2 40 16 2

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,83740.213489,1688.559353,115826.157258,5990.735072
1,85429.791138,1573.764919,102051.754376,6002.983014
2,84751.062558,1573.173400,86866.931082,5985.156938
3,85601.525794,1576.980183,83024.418518,6003.194387
4,85324.986973,1567.347739,98725.679701,5968.515818

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,84969.515990,677.724983,1595.965119,46.401262,97298.988187,11665.945170,5990.117046,12.869714

