Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6155,0.5587,0.0567
2,0.68,0.6295,0.0505
3,0.7405,0.701,0.0395
4,0.763,0.7405,0.0225
5,0.7685,0.7654,0.0031
6,0.7585,0.7819,0.0234
7,0.7755,0.7841,0.0086
8,0.779,0.8005,0.0215
9,0.7945,0.7968,0.0023
10,0.812,0.8145,0.0025
11,0.751,0.8146,0.0636
12,0.8195,0.8226,0.0031
13,0.8185,0.8211,0.0026
14,0.8145,0.8328,0.0183
15,0.8325,0.8391,0.0066
16,0.813,0.8431,0.0301
17,0.809,0.8509,0.0419
18,0.8305,0.8515,0.021
19,0.8275,0.8553,0.0278
20,0.8365,0.8566,0.0201
21,0.8155,0.8659,0.0504
22,0.8435,0.8715,0.028
23,0.8345,0.8794,0.0449
24,0.8425,0.8751,0.0326
25,0.8445,0.881,0.0365
26,0.8435,0.8863,0.0428
27,0.8415,0.8919,0.0504
28,0.834,0.892,0.058
29,0.843,0.8914,0.0484
30,0.8385,0.903,0.0645
31,0.829,0.8984,0.0694
32,0.834,0.9071,0.0731
33,0.8445,0.9082,0.0637
34,0.7975,0.9096,0.1121
35,0.8295,0.9089,0.0794
36,0.8465,0.9134,0.0669
37,0.8335,0.9214,0.0879
38,0.836,0.9212,0.0852
39,0.8435,0.9266,0.0831
40,0.825,0.9255,0.1005
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6505,0.5957,0.0548
2,0.715,0.6825,0.0325
3,0.738,0.7028,0.0352
4,0.7435,0.7359,0.0076
5,0.752,0.7483,0.0037
6,0.7815,0.774,0.0075
7,0.771,0.7751,0.0041
8,0.7915,0.7916,0.0001
9,0.7895,0.799,0.0095
10,0.783,0.807,0.024
11,0.816,0.8159,0.0001
12,0.7745,0.8191,0.0446
13,0.819,0.8244,0.0054
14,0.824,0.8361,0.0121
15,0.7885,0.8339,0.0454
16,0.813,0.8391,0.0261
17,0.8155,0.8451,0.0296
18,0.8165,0.8546,0.0381
19,0.817,0.8609,0.0439
20,0.8255,0.8611,0.0356
21,0.83,0.8671,0.0371
22,0.8215,0.8679,0.0464
23,0.8275,0.8742,0.0468
24,0.855,0.8746,0.0196
25,0.838,0.8848,0.0468
26,0.81,0.8905,0.0805
27,0.8185,0.8949,0.0764
28,0.829,0.8969,0.0679
29,0.826,0.8997,0.0738
30,0.824,0.8986,0.0746
31,0.8245,0.9045,0.08
32,0.832,0.9064,0.0744
33,0.8285,0.909,0.0805
34,0.8335,0.9176,0.0841
35,0.8295,0.917,0.0875
36,0.826,0.9197,0.0938
37,0.8265,0.9178,0.0913
38,0.837,0.9216,0.0846
39,0.8345,0.9226,0.0881
40,0.8175,0.9326,0.1151
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6535,0.576,0.0775
2,0.651,0.6913,0.0403
3,0.746,0.7244,0.0216
4,0.769,0.7521,0.0169
5,0.777,0.7678,0.0092
6,0.791,0.7753,0.0157
7,0.749,0.7875,0.0385
8,0.7915,0.7936,0.0021
9,0.7975,0.8041,0.0066
10,0.8045,0.8125,0.008
11,0.802,0.8207,0.0188
12,0.7855,0.8186,0.0331
13,0.809,0.8324,0.0234
14,0.8245,0.8371,0.0126
15,0.8115,0.8422,0.0307
16,0.7965,0.8471,0.0506
17,0.8145,0.8525,0.038
18,0.817,0.8571,0.0401
19,0.8,0.8656,0.0656
20,0.8205,0.8704,0.0499
21,0.8085,0.869,0.0605
22,0.8215,0.8823,0.0608
23,0.8275,0.8959,0.0684
24,0.8235,0.8888,0.0653
25,0.8345,0.8939,0.0594
26,0.8215,0.8957,0.0742
27,0.828,0.9024,0.0744
28,0.8235,0.9009,0.0774
29,0.811,0.9094,0.0984
30,0.833,0.9101,0.0771
31,0.8305,0.9184,0.0879
32,0.831,0.9196,0.0886
33,0.834,0.9176,0.0836
34,0.8195,0.9259,0.1064
35,0.8415,0.927,0.0855
36,0.8315,0.9289,0.0974
37,0.8245,0.932,0.1075
38,0.825,0.9362,0.1112
39,0.828,0.9358,0.1077
40,0.837,0.939,0.102
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.671,0.6035,0.0675
2,0.727,0.7041,0.0229
3,0.7555,0.7464,0.0091
4,0.7695,0.7626,0.0069
5,0.7595,0.7741,0.0146
6,0.791,0.7859,0.0051
7,0.77,0.794,0.024
8,0.8,0.8025,0.0025
9,0.805,0.8046,0.0004
10,0.802,0.8108,0.0088
11,0.803,0.8181,0.0151
12,0.812,0.818,0.006
13,0.7985,0.8234,0.0249
14,0.7965,0.8304,0.0339
15,0.8005,0.8342,0.0337
16,0.8095,0.8445,0.035
17,0.808,0.8479,0.0399
18,0.807,0.854,0.047
19,0.7865,0.8556,0.0691
20,0.833,0.8585,0.0255
21,0.817,0.8625,0.0455
22,0.8085,0.8661,0.0576
23,0.8145,0.8705,0.056
24,0.8245,0.8759,0.0514
25,0.8365,0.877,0.0405
26,0.8135,0.8786,0.0651
27,0.83,0.8898,0.0598
28,0.84,0.8848,0.0448
29,0.813,0.8919,0.0789
30,0.8295,0.8929,0.0634
31,0.803,0.8957,0.0928
32,0.8215,0.9,0.0785
33,0.8275,0.9041,0.0766
34,0.826,0.9053,0.0793
35,0.8245,0.9101,0.0856
36,0.831,0.915,0.084
37,0.8285,0.9135,0.085
38,0.8215,0.9158,0.0943
39,0.8245,0.918,0.0935
40,0.8165,0.9187,0.1022
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.677,0.5913,0.0857
2,0.7275,0.688,0.0395
3,0.7375,0.7212,0.0163
4,0.7015,0.7467,0.0452
5,0.768,0.7667,0.0013
6,0.7915,0.7756,0.0159
7,0.8055,0.7921,0.0134
8,0.811,0.7977,0.0132
9,0.7785,0.8075,0.029
10,0.7955,0.8151,0.0196
11,0.8235,0.822,0.0015
12,0.818,0.831,0.013
13,0.7995,0.8309,0.0314
14,0.821,0.8401,0.0191
15,0.8255,0.8411,0.0156
16,0.8255,0.842,0.0165
17,0.827,0.8584,0.0314
18,0.839,0.8596,0.0206
19,0.821,0.8536,0.0326
20,0.807,0.87,0.063
21,0.8275,0.873,0.0455
22,0.837,0.8792,0.0422
23,0.824,0.8801,0.0561
24,0.8365,0.8815,0.045
25,0.8205,0.8882,0.0677
26,0.828,0.8975,0.0695
27,0.837,0.8979,0.0609
28,0.829,0.8959,0.0669
29,0.826,0.8991,0.0731
30,0.84,0.915,0.075
31,0.828,0.9115,0.0835
32,0.8185,0.9115,0.093
33,0.83,0.9131,0.0831
34,0.8365,0.924,0.0875
35,0.8435,0.9241,0.0806
36,0.8375,0.9225,0.085
37,0.8245,0.93,0.1055
38,0.8305,0.9306,0.1001
39,0.8485,0.9302,0.0817
40,0.8315,0.9334,0.1019
