Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5,0.497,0.003
2,0.5,0.4888,0.0112
3,0.5,0.497,0.003
4,0.5,0.4947,0.0053
5,0.5,0.4999,0.0001
6,0.5,0.5013,0.0013
7,0.5,0.4961,0.0039
8,0.5,0.4931,0.0069
9,0.5,0.5004,0.0004
10,0.5,0.4966,0.0034
11,0.5,0.5025,0.0025
12,0.5,0.4997,0.0003
13,0.5,0.4911,0.0089
14,0.5,0.502,0.002
15,0.5,0.4992,0.0008
16,0.5,0.49,0.01
17,0.5,0.4949,0.0051
18,0.5,0.4908,0.0092
19,0.5,0.5021,0.0021
20,0.5,0.5019,0.0019
21,0.5,0.4884,0.0116
22,0.5,0.4989,0.0011
23,0.5,0.4945,0.0055
24,0.5,0.4944,0.0056
25,0.5,0.5001,0.0001
26,0.5,0.496,0.004
27,0.5,0.4971,0.0029
28,0.5,0.4967,0.0033
29,0.5,0.4959,0.0041
30,0.5,0.4946,0.0054
31,0.5,0.4967,0.0033
32,0.5,0.5016,0.0016
33,0.5,0.4954,0.0046
34,0.5,0.4966,0.0034
35,0.5,0.4995,0.0005
36,0.5,0.499,0.001
37,0.5,0.4949,0.0051
38,0.5,0.4974,0.0026
39,0.5,0.4999,0.0001
40,0.5,0.495,0.005
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.533,0.525,0.008
2,0.639,0.619,0.02
3,0.668,0.6619,0.0061
4,0.6915,0.6841,0.0074
5,0.7095,0.7193,0.0098
6,0.731,0.7389,0.0079
7,0.755,0.7604,0.0054
8,0.783,0.778,0.005
9,0.777,0.789,0.012
10,0.805,0.7995,0.0055
11,0.811,0.8116,0.0006
12,0.8215,0.8216,0.0001
13,0.8005,0.8355,0.035
14,0.8175,0.8436,0.0261
15,0.831,0.8505,0.0195
16,0.834,0.8537,0.0197
17,0.823,0.859,0.036
18,0.8415,0.8717,0.0303
19,0.833,0.8798,0.0468
20,0.8365,0.8826,0.0461
21,0.849,0.8824,0.0334
22,0.8485,0.89,0.0415
23,0.8495,0.8945,0.045
24,0.8415,0.8924,0.0509
25,0.843,0.9005,0.0575
26,0.851,0.9093,0.0583
27,0.8485,0.9133,0.0648
28,0.8545,0.915,0.0605
29,0.846,0.921,0.075
30,0.8395,0.9218,0.0822
31,0.849,0.9249,0.0759
32,0.852,0.9261,0.0741
33,0.853,0.9306,0.0776
34,0.862,0.9339,0.0719
35,0.856,0.9389,0.0829
36,0.849,0.943,0.094
37,0.847,0.9367,0.0897
38,0.839,0.9481,0.1091
39,0.845,0.9391,0.0941
40,0.8675,0.9504,0.0829
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.563,0.5242,0.0388
2,0.58,0.5995,0.0195
3,0.639,0.6209,0.0181
4,0.6575,0.6503,0.0073
5,0.689,0.6801,0.0089
6,0.7275,0.7092,0.0183
7,0.7415,0.7372,0.0043
8,0.7515,0.7642,0.0127
9,0.805,0.7843,0.0207
10,0.8135,0.804,0.0095
11,0.8225,0.8196,0.0029
12,0.8325,0.8213,0.0112
13,0.814,0.8444,0.0304
14,0.8395,0.8504,0.0109
15,0.83,0.8534,0.0234
16,0.85,0.8627,0.0127
17,0.842,0.8715,0.0295
18,0.8405,0.8759,0.0354
19,0.8455,0.887,0.0415
20,0.8485,0.8891,0.0406
21,0.8495,0.8931,0.0436
22,0.8485,0.8967,0.0482
23,0.8495,0.9004,0.0509
24,0.8405,0.9038,0.0633
25,0.8585,0.9086,0.0501
26,0.8655,0.9154,0.0499
27,0.863,0.916,0.053
28,0.841,0.9226,0.0816
29,0.8575,0.9251,0.0676
30,0.858,0.9221,0.0641
31,0.8535,0.9249,0.0714
32,0.8575,0.9277,0.0702
33,0.8565,0.9384,0.0819
34,0.85,0.9398,0.0897
35,0.847,0.9381,0.0911
36,0.8645,0.9434,0.0789
37,0.851,0.9454,0.0944
38,0.855,0.942,0.087
39,0.862,0.9466,0.0846
40,0.8655,0.9476,0.0821
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5,0.5013,0.0013
2,0.5,0.5027,0.0027
3,0.54,0.503,0.037
4,0.4985,0.5016,0.0031
5,0.5,0.5113,0.0113
6,0.5,0.5027,0.0027
7,0.5,0.4976,0.0024
8,0.5,0.5008,0.0008
9,0.5,0.4945,0.0055
10,0.5,0.498,0.002
11,0.5,0.4914,0.0086
12,0.5,0.5001,0.0001
13,0.5,0.4956,0.0044
14,0.5,0.4991,0.0009
15,0.5005,0.5019,0.0014
16,0.5,0.5005,0.0005
17,0.5005,0.4939,0.0066
18,0.5,0.4996,0.0004
19,0.5,0.4944,0.0056
20,0.5,0.4972,0.0028
21,0.5,0.502,0.002
22,0.5,0.4984,0.0016
23,0.5,0.5045,0.0045
24,0.5,0.4984,0.0016
25,0.5,0.5096,0.0096
26,0.5,0.4952,0.0048
27,0.5,0.4974,0.0026
28,0.5,0.4944,0.0056
29,0.5,0.488,0.012
30,0.5,0.5033,0.0033
31,0.5,0.496,0.004
32,0.5,0.4963,0.0037
33,0.5,0.5024,0.0024
34,0.5,0.5002,0.0002
35,0.5,0.4994,0.0006
36,0.5,0.4956,0.0044
37,0.5,0.5029,0.0029
38,0.5,0.5088,0.0088
39,0.5,0.5098,0.0098
40,0.5,0.4955,0.0045
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5,0.5139,0.0139
2,0.5,0.4978,0.0022
3,0.5,0.4969,0.0031
4,0.5,0.4972,0.0028
5,0.5,0.5031,0.0031
6,0.5,0.4904,0.0096
7,0.5,0.4964,0.0036
8,0.5,0.4939,0.0061
9,0.5,0.4955,0.0045
10,0.5,0.4978,0.0022
11,0.5,0.4938,0.0062
12,0.5,0.5011,0.0011
13,0.5,0.4974,0.0026
14,0.5,0.4886,0.0114
15,0.5,0.5036,0.0036
16,0.5,0.4897,0.0103
17,0.5,0.4974,0.0026
18,0.5,0.4918,0.0082
19,0.5,0.5,0.0
20,0.5,0.4914,0.0086
21,0.5,0.506,0.006
22,0.5,0.501,0.001
23,0.5,0.4927,0.0073
24,0.5,0.4981,0.0019
25,0.5,0.5001,0.0001
26,0.5,0.4899,0.0101
27,0.5,0.4839,0.0161
28,0.5,0.4956,0.0044
29,0.5,0.5004,0.0004
30,0.5,0.4939,0.0061
31,0.5,0.4954,0.0046
32,0.5,0.4954,0.0046
33,0.5,0.4956,0.0044
34,0.5,0.499,0.001
35,0.5,0.4995,0.0005
36,0.5,0.4925,0.0075
37,0.5,0.4984,0.0016
38,0.5,0.483,0.017
39,0.5,0.4946,0.0054
40,0.5,0.5013,0.0013
