Epoch,ACC_Test,ACC_Train,Diff_ACC 
30,0.8035,0.8885,0.085
31,0.812,0.8873,0.0753
32,0.8025,0.899,0.0965
33,0.805,0.8963,0.0913
34,0.7905,0.9051,0.1146
35,0.807,0.9069,0.0999
36,0.807,0.9107,0.1037
37,0.8075,0.913,0.1055
38,0.792,0.9137,0.1217
39,0.8105,0.9194,0.1089
40,0.807,0.9214,0.1144
