Tue Jan 26 12:23:08 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_8_2 40 8 2

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,65998.152715,1603.369516,87712.052100,4183.253525
1,66164.858915,1481.424781,63752.603863,4163.775537
2,66925.908717,1477.807418,105488.713039,4141.164297
3,67080.684821,1480.616940,67712.866252,4146.138434
4,66043.161018,1476.967392,65950.511674,4127.884192

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,66442.553237,463.673278,1504.037209,49.694094,78123.349386,16148.565333,4152.443197,19.223978

