Epoch,ACC_Test,ACC_Train,Diff_ACC 
14,0.8075,0.8295,0.022
15,0.815,0.8422,0.0272
16,0.8185,0.8429,0.0244
17,0.816,0.8521,0.0361
18,0.8205,0.8575,0.037
19,0.819,0.8641,0.0451
20,0.8305,0.8665,0.036
21,0.83,0.8746,0.0446
22,0.83,0.8717,0.0418
23,0.829,0.8811,0.0521
24,0.8245,0.8834,0.0589
25,0.8415,0.8905,0.049
26,0.829,0.8928,0.0638
27,0.8135,0.8972,0.0838
28,0.8315,0.9055,0.074
29,0.835,0.9021,0.0671
30,0.841,0.9121,0.0711
31,0.8435,0.916,0.0725
32,0.8335,0.9187,0.0852
33,0.7905,0.9184,0.1279
34,0.8245,0.9162,0.0917
35,0.828,0.9233,0.0953
36,0.829,0.9231,0.0941
37,0.8305,0.9289,0.0984
38,0.82,0.9264,0.1064
39,0.841,0.9312,0.0902
40,0.837,0.9377,0.1007
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6645,0.5906,0.0739
2,0.726,0.6933,0.0328
3,0.7525,0.7303,0.0222
4,0.7295,0.7595,0.03
5,0.7665,0.779,0.0125
6,0.7995,0.7945,0.005
7,0.806,0.8092,0.0033
8,0.8115,0.8096,0.0019
9,0.8295,0.8179,0.0116
10,0.809,0.8279,0.0189
11,0.8185,0.8381,0.0196
12,0.823,0.845,0.022
13,0.838,0.8491,0.0111
14,0.83,0.8528,0.0228
15,0.8465,0.8662,0.0197
16,0.843,0.8665,0.0235
17,0.8525,0.8765,0.024
18,0.86,0.8773,0.0173
19,0.845,0.8813,0.0362
20,0.8575,0.8903,0.0328
21,0.8485,0.8845,0.036
22,0.8615,0.894,0.0325
23,0.8605,0.8989,0.0384
24,0.861,0.9049,0.0439
25,0.855,0.9038,0.0487
26,0.8565,0.907,0.0505
27,0.8625,0.9158,0.0533
28,0.8695,0.913,0.0435
29,0.8735,0.9183,0.0448
30,0.86,0.9244,0.0644
31,0.847,0.926,0.079
32,0.874,0.9287,0.0547
33,0.842,0.927,0.085
34,0.8645,0.9306,0.0661
35,0.8695,0.933,0.0635
36,0.863,0.9341,0.0711
37,0.8665,0.938,0.0715
38,0.834,0.9344,0.1004
39,0.866,0.9402,0.0742
40,0.8375,0.9464,0.1089
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.626,0.5727,0.0533
2,0.681,0.6645,0.0165
3,0.6595,0.7179,0.0584
4,0.789,0.7541,0.0349
5,0.7945,0.7776,0.0169
6,0.7645,0.781,0.0165
7,0.803,0.7972,0.0058
8,0.813,0.8004,0.0126
9,0.8145,0.8083,0.0062
10,0.8025,0.8099,0.0074
11,0.8215,0.8235,0.002
12,0.8165,0.8215,0.005
13,0.8185,0.8404,0.0219
14,0.839,0.8384,0.0006
15,0.842,0.8499,0.0079
16,0.8255,0.8558,0.0303
17,0.833,0.8579,0.0249
18,0.839,0.8645,0.0255
19,0.8345,0.8749,0.0404
20,0.835,0.8739,0.0389
21,0.848,0.8791,0.0311
22,0.841,0.8876,0.0466
23,0.841,0.8925,0.0515
24,0.8485,0.8954,0.0469
25,0.8515,0.9039,0.0524
26,0.8355,0.902,0.0665
27,0.846,0.906,0.06
28,0.8525,0.9094,0.0569
29,0.8545,0.9103,0.0558
30,0.8425,0.9191,0.0766
31,0.848,0.9187,0.0707
32,0.8385,0.9183,0.0798
33,0.8415,0.9239,0.0824
34,0.845,0.9346,0.0896
35,0.8495,0.933,0.0835
36,0.8345,0.9311,0.0966
37,0.842,0.9405,0.0985
38,0.8455,0.9383,0.0928
39,0.8415,0.9473,0.1058
40,0.8425,0.9474,0.1049
