Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.615,0.5576,0.0574
2,0.683,0.6491,0.0339
3,0.6885,0.7154,0.0269
4,0.7425,0.738,0.0045
5,0.7465,0.7667,0.0202
6,0.791,0.7886,0.0024
7,0.7965,0.7915,0.005
8,0.793,0.8086,0.0156
9,0.829,0.8217,0.0073
10,0.8325,0.8282,0.0042
11,0.835,0.8374,0.0024
12,0.844,0.8459,0.0019
13,0.846,0.848,0.002
14,0.836,0.8586,0.0226
15,0.8565,0.8615,0.005
16,0.8575,0.8724,0.0149
17,0.861,0.8683,0.0073
18,0.845,0.8811,0.0361
19,0.849,0.8861,0.0371
20,0.8305,0.8886,0.0581
21,0.854,0.891,0.037
22,0.8505,0.8914,0.0409
23,0.866,0.8954,0.0294
24,0.852,0.9011,0.0491
25,0.8535,0.9075,0.054
26,0.8505,0.9105,0.06
27,0.8655,0.9082,0.0428
28,0.8575,0.913,0.0555
29,0.859,0.9169,0.0579
30,0.8575,0.9183,0.0608
31,0.8575,0.9226,0.0651
32,0.8425,0.9269,0.0844
33,0.8295,0.9275,0.098
34,0.8585,0.9306,0.0721
35,0.871,0.9312,0.0602
36,0.864,0.9364,0.0724
37,0.849,0.9365,0.0875
38,0.863,0.9413,0.0783
39,0.858,0.9414,0.0834
40,0.8615,0.9436,0.0821
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5625,0.5117,0.0508
2,0.6625,0.6106,0.0519
3,0.673,0.6898,0.0168
4,0.7295,0.7107,0.0188
5,0.7795,0.7446,0.0349
6,0.7885,0.767,0.0215
7,0.7855,0.7814,0.0041
8,0.8085,0.7896,0.0189
9,0.806,0.7966,0.0094
10,0.8215,0.8104,0.0111
11,0.8115,0.82,0.0085
12,0.7975,0.825,0.0275
13,0.827,0.8274,0.0004
14,0.803,0.8382,0.0353
15,0.82,0.8451,0.0251
16,0.832,0.8469,0.0149
17,0.8345,0.8508,0.0163
18,0.821,0.8565,0.0355
19,0.8445,0.864,0.0195
20,0.839,0.868,0.029
21,0.845,0.8714,0.0264
22,0.848,0.8773,0.0293
23,0.8525,0.8759,0.0234
24,0.8395,0.8856,0.0461
25,0.8485,0.8919,0.0434
26,0.8595,0.8915,0.032
27,0.8475,0.8989,0.0514
28,0.8425,0.9004,0.0579
29,0.854,0.9036,0.0496
30,0.856,0.9076,0.0516
31,0.8525,0.9072,0.0547
32,0.863,0.914,0.051
33,0.8475,0.9171,0.0696
34,0.8525,0.9264,0.0739
35,0.852,0.9222,0.0702
36,0.85,0.9283,0.0782
37,0.8465,0.9251,0.0786
38,0.8495,0.9293,0.0798
39,0.852,0.929,0.077
40,0.852,0.9327,0.0807
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5975,0.518,0.0795
2,0.661,0.6161,0.0449
3,0.659,0.6645,0.0055
4,0.7235,0.7041,0.0194
5,0.7335,0.7377,0.0042
6,0.7605,0.7506,0.0099
7,0.727,0.7679,0.0409
8,0.767,0.7761,0.0091
9,0.8005,0.7847,0.0157
10,0.794,0.797,0.003
11,0.8065,0.8089,0.0024
12,0.8055,0.8136,0.0081
13,0.8105,0.8246,0.0141
