Thu Jan 28 13:20:57 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_16_3 40 16 3

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,94696.869637,1796.204743,162364.579353,7563.035022
1,95767.953300,1663.783566,104216.334420,7487.474548
2,96301.412686,1666.934700,85295.318693,7501.300605
3,96910.697959,1662.479774,109051.064312,7522.482805
4,96869.099885,1664.847308,101369.044615,7521.807747

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,96109.206693,820.721499,1690.850018,52.697562,112459.268279,26195.324409,7519.220146,25.557687

