Mon Feb  1 13:31:56 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_32_2 40 32 2

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,111282.140169,1909.640181,151064.048318,10057.545667
1,111661.040996,1789.886104,129919.838215,9938.526097
2,112177.464532,1797.655723,118006.307401,9994.768877
3,112180.150104,1798.067633,111603.448646,10007.306936
4,111916.759101,1794.745718,115561.508359,9980.531974

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,111843.510981,340.190724,1817.999072,45.913537,125231.030188,14288.015935,9995.735910,38.624842

