Epoch,ACC_Test,ACC_Train,Diff_ACC 
30,0.828,0.929,0.101
31,0.8495,0.9327,0.0832
32,0.8355,0.9352,0.0997
33,0.843,0.9405,0.0975
34,0.839,0.9429,0.1039
35,0.8545,0.9424,0.0879
36,0.85,0.9431,0.0931
37,0.8395,0.9469,0.1074
38,0.8315,0.9475,0.116
39,0.8365,0.9528,0.1163
40,0.8565,0.9526,0.0961
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5845,0.5201,0.0644
2,0.6205,0.5564,0.0641
3,0.696,0.6561,0.0399
4,0.725,0.6985,0.0265
5,0.7295,0.7287,0.0008
6,0.757,0.736,0.021
7,0.759,0.7592,0.0002
8,0.78,0.7745,0.0055
9,0.7865,0.7837,0.0027
10,0.803,0.7943,0.0087
11,0.7985,0.8142,0.0157
12,0.8035,0.7995,0.004
13,0.8105,0.8163,0.0058
14,0.807,0.8261,0.0191
15,0.808,0.8232,0.0152
16,0.819,0.8405,0.0215
17,0.798,0.8404,0.0424
18,0.8195,0.8411,0.0216
19,0.837,0.8526,0.0156
20,0.826,0.853,0.027
21,0.84,0.8614,0.0214
22,0.8315,0.8675,0.036
23,0.839,0.868,0.029
24,0.8135,0.8729,0.0594
25,0.8165,0.8766,0.0601
26,0.8405,0.8789,0.0384
27,0.838,0.886,0.048
28,0.836,0.8898,0.0537
29,0.805,0.8925,0.0875
30,0.8325,0.8949,0.0624
31,0.816,0.8894,0.0734
32,0.8465,0.901,0.0545
33,0.8305,0.906,0.0755
34,0.835,0.9087,0.0738
35,0.848,0.9181,0.0701
36,0.84,0.9133,0.0733
37,0.839,0.9185,0.0795
38,0.844,0.9208,0.0768
39,0.8435,0.9191,0.0756
40,0.8325,0.9233,0.0908
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5,0.5073,0.0073
2,0.572,0.5165,0.0555
3,0.642,0.608,0.034
4,0.699,0.6647,0.0343
5,0.7105,0.7007,0.0098
6,0.7025,0.724,0.0215
7,0.751,0.7419,0.0091
8,0.765,0.7571,0.0079
9,0.791,0.7776,0.0134
10,0.778,0.7918,0.0138
11,0.786,0.8044,0.0184
12,0.806,0.8095,0.0035
13,0.8045,0.8202,0.0157
14,0.8115,0.8221,0.0106
15,0.811,0.8332,0.0222
16,0.8145,0.8419,0.0274
17,0.804,0.841,0.037
18,0.818,0.848,0.03
19,0.8365,0.8519,0.0154
20,0.8265,0.8543,0.0278
21,0.826,0.8576,0.0316
22,0.8395,0.8626,0.0231
23,0.846,0.8662,0.0202
24,0.8365,0.8684,0.0319
25,0.844,0.8739,0.0299
26,0.8325,0.8821,0.0496
27,0.834,0.8777,0.0437
28,0.833,0.8794,0.0464
29,0.8305,0.8823,0.0518
30,0.8335,0.8866,0.0531
31,0.8405,0.8879,0.0474
32,0.826,0.8881,0.0621
33,0.839,0.8891,0.0501
34,0.8305,0.9003,0.0698
35,0.818,0.9004,0.0824
36,0.8455,0.9036,0.0581
37,0.8355,0.9029,0.0674
38,0.8385,0.9171,0.0786
39,0.8375,0.9145,0.077
40,0.8105,0.9143,0.1037
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5095,0.5297,0.0202
2,0.612,0.6049,0.0071
3,0.733,0.6834,0.0496
4,0.7225,0.7235,0.001
5,0.7535,0.7502,0.0033
6,0.7625,0.7707,0.0082
7,0.751,0.7786,0.0276
8,0.7815,0.7906,0.0091
9,0.7495,0.8117,0.0623
10,0.814,0.8144,0.0004
11,0.819,0.8176,0.0014
12,0.8125,0.8332,0.0207
13,0.8145,0.8414,0.0269
14,0.8195,0.8459,0.0264
15,0.8115,0.8476,0.0361
16,0.833,0.8605,0.0275
17,0.8215,0.8631,0.0416
18,0.844,0.8696,0.0256
19,0.8345,0.8744,0.0399
20,0.8225,0.8852,0.0627
21,0.8345,0.8813,0.0468
22,0.8345,0.8846,0.0501
23,0.8265,0.8882,0.0617
24,0.824,0.8953,0.0713
25,0.8185,0.9022,0.0838
26,0.8185,0.9034,0.0849
27,0.823,0.9053,0.0822
28,0.805,0.908,0.103
29,0.819,0.911,0.092
30,0.809,0.9215,0.1125
31,0.8325,0.9189,0.0864
32,0.825,0.925,0.1
33,0.843,0.9301,0.0871
34,0.822,0.9326,0.1106
35,0.829,0.9344,0.1054
36,0.845,0.9344,0.0894
37,0.828,0.9337,0.1057
38,0.839,0.9361,0.0971
39,0.814,0.944,0.13
40,0.84,0.9477,0.1077
