Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5865,0.5814,0.0051
2,0.741,0.6898,0.0512
3,0.738,0.7352,0.0027
4,0.7795,0.7657,0.0138
5,0.767,0.7796,0.0126
6,0.8035,0.7965,0.007
7,0.7535,0.8138,0.0603
8,0.8255,0.8169,0.0086
9,0.7805,0.8223,0.0418
10,0.837,0.8305,0.0065
11,0.8225,0.8359,0.0134
12,0.833,0.8446,0.0116
13,0.843,0.8472,0.0042
14,0.7935,0.8525,0.059
15,0.8305,0.8561,0.0256
16,0.856,0.8646,0.0086
17,0.8355,0.8676,0.0321
18,0.821,0.8826,0.0616
19,0.8575,0.883,0.0255
20,0.8445,0.8848,0.0403
21,0.8295,0.8892,0.0597
22,0.828,0.8989,0.0709
23,0.8355,0.8965,0.061
24,0.847,0.9086,0.0616
25,0.8385,0.9134,0.0749
26,0.8345,0.9106,0.0761
27,0.8365,0.9185,0.082
28,0.85,0.9264,0.0764
29,0.8425,0.9212,0.0788
30,0.842,0.9271,0.0851
31,0.858,0.9314,0.0734
32,0.849,0.9354,0.0864
33,0.843,0.9341,0.0911
34,0.846,0.9367,0.0907
35,0.8515,0.9429,0.0914
36,0.8555,0.9416,0.0861
37,0.852,0.9438,0.0918
38,0.842,0.9465,0.1045
39,0.8485,0.9492,0.1007
40,0.842,0.9509,0.1089
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.563,0.5381,0.0249
2,0.6955,0.6518,0.0437
3,0.7105,0.7163,0.0058
4,0.7345,0.739,0.0045
5,0.754,0.7635,0.0095
6,0.7865,0.7829,0.0036
7,0.7985,0.7964,0.0021
8,0.815,0.8094,0.0056
9,0.829,0.8184,0.0106
10,0.8035,0.8282,0.0247
11,0.8285,0.8303,0.0018
12,0.821,0.8475,0.0265
13,0.829,0.8491,0.0201
14,0.8345,0.8587,0.0242
15,0.828,0.864,0.036
16,0.836,0.8664,0.0304
17,0.831,0.8815,0.0505
18,0.838,0.8848,0.0468
19,0.8225,0.8917,0.0692
20,0.8305,0.8863,0.0558
21,0.837,0.8989,0.0619
22,0.827,0.9062,0.0792
23,0.8315,0.9099,0.0784
24,0.8085,0.9084,0.0999
25,0.839,0.9125,0.0735
26,0.847,0.9156,0.0686
27,0.8025,0.9208,0.1183
28,0.845,0.9261,0.0811
29,0.8475,0.9287,0.0812
