Mon Jan 25 12:02:04 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_32_3 40 32 3

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,123393.919481,2025.004243,134997.648915,13115.313982
1,122901.839645,1993.784412,131497.849073,12948.691278
2,124163.844574,2014.768181,129572.571262,13150.995774
3,124661.422945,2008.786465,142175.210244,13090.579188
4,124313.496128,1997.065218,117776.343432,12907.682206

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,123886.904555,643.730074,2007.881704,11.464323,131203.924585,7972.566641,13042.652486,96.291864

