Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5695,0.5154,0.0541
2,0.6575,0.5491,0.1084
3,0.669,0.6476,0.0214
4,0.73,0.6851,0.0449
5,0.77,0.7197,0.0502
6,0.778,0.7566,0.0214
7,0.782,0.7784,0.0036
8,0.7835,0.7931,0.0096
9,0.788,0.8049,0.0169
10,0.821,0.8138,0.0072
11,0.8265,0.8236,0.0029
12,0.823,0.839,0.016
13,0.8235,0.8386,0.0151
14,0.8325,0.8515,0.019
15,0.842,0.8565,0.0145
16,0.84,0.8727,0.0328
17,0.8375,0.8716,0.0341
18,0.8505,0.8827,0.0322
19,0.8575,0.8881,0.0306
20,0.86,0.8932,0.0332
21,0.863,0.9021,0.0391
22,0.8665,0.9004,0.0339
23,0.8765,0.9143,0.0378
24,0.8555,0.9095,0.054
25,0.8665,0.9186,0.0521
26,0.8645,0.9246,0.0601
27,0.8565,0.9294,0.0729
28,0.877,0.9289,0.0519
29,0.8635,0.9348,0.0713
30,0.8525,0.9381,0.0856
31,0.871,0.9377,0.0667
32,0.87,0.9423,0.0723
33,0.8575,0.9467,0.0892
34,0.855,0.9467,0.0917
35,0.8755,0.9531,0.0776
36,0.8595,0.9511,0.0916
37,0.866,0.9482,0.0822
38,0.8665,0.9572,0.0907
39,0.8655,0.9551,0.0896
40,0.865,0.9609,0.0959
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5,0.5086,0.0086
2,0.5,0.4991,0.0009
3,0.5,0.4877,0.0123
4,0.5,0.4958,0.0042
5,0.5,0.4905,0.0095
6,0.5,0.4964,0.0036
7,0.5,0.4967,0.0033
8,0.5,0.5021,0.0021
9,0.5,0.4902,0.0098
10,0.5,0.4959,0.0041
11,0.5,0.4924,0.0076
12,0.5,0.4904,0.0096
13,0.5,0.487,0.013
14,0.5,0.4951,0.0049
15,0.5,0.4986,0.0014
16,0.5,0.5021,0.0021
17,0.5,0.4947,0.0053
18,0.5,0.4925,0.0075
19,0.5,0.5004,0.0004
20,0.5,0.5015,0.0015
21,0.5,0.4914,0.0086
22,0.5,0.4958,0.0042
23,0.5,0.4989,0.0011
24,0.5,0.4983,0.0017
25,0.5,0.5009,0.0009
26,0.5,0.5027,0.0027
27,0.5,0.4893,0.0107
28,0.5,0.5031,0.0031
29,0.5,0.4942,0.0058
30,0.5,0.5006,0.0006
31,0.5,0.4978,0.0022
32,0.5,0.5073,0.0073
33,0.5,0.4996,0.0004
34,0.5,0.4991,0.0009
35,0.5,0.4946,0.0054
36,0.5,0.4981,0.0019
37,0.5,0.4959,0.0041
38,0.5,0.4924,0.0076
39,0.5,0.4936,0.0064
40,0.5,0.4985,0.0015
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.614,0.5393,0.0748
2,0.6375,0.61,0.0275
3,0.71,0.6575,0.0525
4,0.734,0.7009,0.0331
5,0.7705,0.7506,0.0199
6,0.7995,0.7711,0.0284
7,0.802,0.7909,0.0111
8,0.8185,0.805,0.0135
9,0.8245,0.8201,0.0044
10,0.8115,0.8238,0.0123
11,0.838,0.8432,0.0052
12,0.8475,0.8534,0.0059
13,0.842,0.8591,0.0171
14,0.8455,0.8561,0.0106
15,0.838,0.8727,0.0347
16,0.846,0.8749,0.0289
17,0.857,0.8832,0.0263
18,0.851,0.8907,0.0397
19,0.8605,0.8899,0.0294
20,0.86,0.8988,0.0387
21,0.863,0.9025,0.0395
22,0.846,0.907,0.061
23,0.874,0.9135,0.0395
24,0.859,0.9161,0.0571
25,0.8645,0.9219,0.0574
26,0.87,0.925,0.055
27,0.8635,0.9231,0.0596
28,0.866,0.9259,0.0599
29,0.857,0.9299,0.0729
30,0.8685,0.9319,0.0634
31,0.8745,0.9395,0.065
32,0.8705,0.9425,0.072
33,0.873,0.9419,0.0689
34,0.8685,0.951,0.0825
35,0.87,0.9469,0.0769
36,0.871,0.9505,0.0795
37,0.8665,0.9488,0.0822
38,0.872,0.9514,0.0794
39,0.869,0.9514,0.0824
40,0.858,0.9535,0.0955
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5005,0.5051,0.0046
2,0.5335,0.5005,0.033
3,0.5,0.5191,0.0191
4,0.509,0.5174,0.0084
5,0.651,0.5667,0.0843
6,0.677,0.6361,0.0409
7,0.687,0.7038,0.0168
8,0.748,0.728,0.02
9,0.7865,0.7505,0.036
10,0.787,0.7694,0.0176
11,0.7775,0.7901,0.0126
12,0.815,0.7974,0.0176
13,0.8345,0.808,0.0265
14,0.795,0.8276,0.0326
