Epoch,ACC_Test,ACC_Train,Diff_ACC 
15,0.807,0.8321,0.0251
16,0.837,0.8428,0.0058
17,0.83,0.8524,0.0224
18,0.818,0.8566,0.0386
19,0.8295,0.8641,0.0346
20,0.8485,0.8756,0.0271
21,0.84,0.8766,0.0366
22,0.858,0.8878,0.0298
23,0.85,0.9001,0.0501
24,0.858,0.8939,0.0359
25,0.862,0.9036,0.0416
26,0.8515,0.9056,0.0541
27,0.853,0.9097,0.0567
28,0.852,0.9162,0.0642
29,0.843,0.9172,0.0742
30,0.8485,0.9237,0.0752
31,0.8565,0.9289,0.0724
32,0.847,0.9341,0.0871
33,0.848,0.9308,0.0828
34,0.852,0.9399,0.0879
35,0.8145,0.9414,0.1269
36,0.8595,0.9467,0.0872
37,0.8525,0.9441,0.0916
38,0.863,0.9492,0.0863
39,0.8645,0.9528,0.0883
40,0.8315,0.9554,0.1239
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.4995,0.4964,0.0031
2,0.4995,0.4983,0.0012
3,0.502,0.49,0.012
4,0.5,0.5016,0.0016
5,0.5,0.4996,0.0004
6,0.5,0.5019,0.0019
7,0.5,0.5027,0.0027
8,0.4995,0.4952,0.0043
9,0.4995,0.4927,0.0068
10,0.5,0.491,0.009
11,0.5,0.5038,0.0038
12,0.5,0.4965,0.0035
13,0.5,0.5005,0.0005
14,0.5,0.4992,0.0008
15,0.5,0.4991,0.0009
16,0.5,0.4983,0.0017
17,0.5,0.4936,0.0064
18,0.5,0.4954,0.0046
19,0.4995,0.4851,0.0144
20,0.5,0.5016,0.0016
21,0.5,0.5045,0.0045
22,0.5,0.4986,0.0014
23,0.4995,0.5,0.0005
24,0.5,0.4997,0.0003
25,0.5,0.4976,0.0024
26,0.5,0.4964,0.0036
27,0.5,0.4924,0.0076
28,0.5,0.4947,0.0053
29,0.5,0.4964,0.0036
30,0.5,0.4952,0.0048
31,0.5,0.4985,0.0015
32,0.5,0.4958,0.0042
33,0.5,0.5023,0.0023
34,0.5,0.4989,0.0011
35,0.5,0.5013,0.0013
36,0.5,0.5076,0.0076
37,0.5,0.4911,0.0089
38,0.5,0.5025,0.0025
39,0.5,0.5015,0.0015
40,0.5,0.4908,0.0092
