Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.6335,0.5497,0.0838
2,0.715,0.6777,0.0372
3,0.729,0.7229,0.0061
4,0.743,0.7321,0.0109
5,0.6805,0.7454,0.0649
6,0.772,0.7582,0.0138
7,0.7575,0.7728,0.0153
8,0.7955,0.7918,0.0037
9,0.784,0.7895,0.0055
10,0.759,0.8009,0.0419
11,0.776,0.797,0.021
12,0.8035,0.8064,0.0029
13,0.807,0.8067,0.0002
14,0.804,0.818,0.014
15,0.8045,0.8245,0.02
16,0.8095,0.8319,0.0224
17,0.825,0.8325,0.0075
18,0.833,0.8364,0.0034
19,0.8165,0.8435,0.027
20,0.811,0.8449,0.0339
21,0.8205,0.849,0.0285
22,0.787,0.8553,0.0683
23,0.8215,0.862,0.0405
24,0.8155,0.8637,0.0482
25,0.817,0.8737,0.0567
26,0.8065,0.8708,0.0642
27,0.819,0.8766,0.0576
28,0.815,0.8759,0.0609
29,0.8185,0.8817,0.0633
30,0.815,0.8889,0.0739
31,0.8295,0.8919,0.0624
32,0.814,0.8944,0.0804
33,0.8035,0.8913,0.0878
34,0.83,0.8982,0.0683
35,0.824,0.9011,0.0771
36,0.819,0.9003,0.0813
37,0.811,0.9112,0.1003
38,0.8205,0.9081,0.0876
39,0.8065,0.9131,0.1066
40,0.823,0.9126,0.0896
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.636,0.5861,0.0499
2,0.6915,0.679,0.0125
3,0.713,0.713,0.0
4,0.741,0.7144,0.0266
5,0.766,0.7401,0.0259
6,0.765,0.7533,0.0117
7,0.775,0.7666,0.0084
8,0.784,0.7774,0.0066
9,0.7875,0.7809,0.0066
10,0.7975,0.7836,0.0139
11,0.8015,0.7991,0.0024
12,0.7875,0.8051,0.0176
13,0.8025,0.8055,0.003
14,0.785,0.8142,0.0292
15,0.817,0.8206,0.0036
16,0.792,0.8245,0.0325
17,0.8185,0.831,0.0125
18,0.8175,0.8381,0.0206
19,0.806,0.8415,0.0355
20,0.812,0.8471,0.0351
21,0.828,0.8482,0.0202
22,0.8175,0.8508,0.0333
23,0.8025,0.8549,0.0524
24,0.8305,0.8526,0.0221
25,0.806,0.8583,0.0523
26,0.827,0.8634,0.0364
27,0.793,0.8695,0.0765
28,0.8155,0.8741,0.0586
29,0.8305,0.8769,0.0464
30,0.806,0.8809,0.0749
31,0.829,0.8791,0.0501
32,0.8325,0.8783,0.0458
33,0.837,0.8894,0.0524
34,0.8315,0.8865,0.055
35,0.825,0.897,0.072
36,0.8285,0.8965,0.068
37,0.81,0.9,0.09
38,0.8325,0.9036,0.0711
39,0.818,0.898,0.08
40,0.837,0.906,0.069
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5555,0.5479,0.0076
2,0.706,0.6547,0.0512
3,0.7165,0.7201,0.0036
4,0.735,0.734,0.001
5,0.755,0.7434,0.0116
6,0.7545,0.7495,0.005
7,0.7685,0.7629,0.0056
8,0.7645,0.7685,0.004
9,0.761,0.7769,0.0159
10,0.7675,0.7901,0.0226
11,0.789,0.7912,0.0023
12,0.768,0.798,0.03
13,0.7885,0.7986,0.0101
14,0.768,0.8089,0.0409
15,0.8065,0.8071,0.0006
16,0.802,0.8192,0.0173
17,0.817,0.8229,0.0059
18,0.825,0.8274,0.0024
19,0.8155,0.8374,0.0219
20,0.813,0.84,0.027
21,0.8105,0.8409,0.0304
22,0.8115,0.8436,0.0321
23,0.8095,0.8522,0.0428
24,0.836,0.853,0.017
25,0.8275,0.8597,0.0322
26,0.825,0.8561,0.0311
27,0.8105,0.87,0.0595
28,0.827,0.8616,0.0346
29,0.827,0.87,0.043
30,0.829,0.8748,0.0458
31,0.832,0.8741,0.0421
32,0.823,0.877,0.054
33,0.8205,0.8749,0.0544
34,0.832,0.8834,0.0514
35,0.843,0.8891,0.0461
36,0.825,0.8899,0.0649
37,0.842,0.8923,0.0502
38,0.8475,0.8974,0.0499
39,0.8205,0.8885,0.068
40,0.813,0.9019,0.0889
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5725,0.548,0.0245
2,0.687,0.6633,0.0237
