Epoch,ACC_Test,ACC_Train,Diff_ACC 
3,0.7295,0.6948,0.0347
4,0.742,0.7269,0.0151
5,0.771,0.7396,0.0314
6,0.744,0.765,0.021
7,0.774,0.7695,0.0045
8,0.7805,0.7844,0.0039
9,0.782,0.7859,0.0039
10,0.801,0.7952,0.0058
11,0.7585,0.8036,0.0451
12,0.8035,0.812,0.0085
13,0.8175,0.812,0.0055
14,0.812,0.8114,0.0006
15,0.796,0.8202,0.0242
16,0.809,0.8224,0.0134
17,0.812,0.8349,0.0229
18,0.8345,0.8394,0.0049
19,0.8185,0.8364,0.0179
20,0.8305,0.8419,0.0114
21,0.8315,0.8525,0.021
22,0.831,0.8519,0.0209
23,0.8325,0.8491,0.0166
24,0.831,0.8634,0.0324
25,0.8325,0.8639,0.0314
26,0.8285,0.8694,0.0409
27,0.829,0.8698,0.0408
28,0.8235,0.8709,0.0474
29,0.822,0.876,0.054
30,0.837,0.8726,0.0356
31,0.8275,0.8825,0.055
32,0.826,0.8845,0.0585
33,0.8375,0.887,0.0495
34,0.8225,0.891,0.0685
35,0.841,0.8919,0.0509
36,0.8195,0.8961,0.0766
37,0.803,0.892,0.089
38,0.831,0.8956,0.0646
39,0.831,0.899,0.068
40,0.815,0.8985,0.0835
Epoch,ACC_Test,ACC_Train,Diff_ACC 
1,0.5155,0.5815,0.066
2,0.657,0.675,0.018
3,0.7205,0.711,0.0095
4,0.7385,0.7343,0.0042
5,0.751,0.746,0.005
6,0.7845,0.7609,0.0236
7,0.7725,0.763,0.0095
8,0.786,0.7814,0.0046
9,0.78,0.7804,0.0004
10,0.7865,0.7878,0.0013
11,0.791,0.7969,0.0059
12,0.802,0.8021,0.0001
13,0.7945,0.7966,0.0021
14,0.806,0.8129,0.0069
15,0.799,0.812,0.013
16,0.804,0.8235,0.0195
17,0.7935,0.8239,0.0304
18,0.8195,0.8324,0.0129
19,0.8165,0.8346,0.0181
20,0.82,0.839,0.019
21,0.8265,0.8403,0.0138
22,0.8065,0.8432,0.0367
23,0.825,0.8429,0.0179
24,0.834,0.8591,0.0251
25,0.8335,0.8555,0.022
26,0.824,0.8515,0.0275
27,0.806,0.8575,0.0515
28,0.8145,0.8655,0.051
29,0.812,0.8723,0.0603
30,0.8355,0.8727,0.0372
31,0.8305,0.8705,0.04
32,0.8315,0.8734,0.0419
33,0.827,0.8794,0.0524
34,0.833,0.8759,0.0429
35,0.799,0.8754,0.0764
36,0.832,0.8884,0.0564
37,0.8235,0.8895,0.066
38,0.824,0.892,0.068
39,0.832,0.8969,0.0649
40,0.829,0.9003,0.0713
