Wed Jan 27 12:26:22 2021,/AI-venv/bin/python3.7 CNN.py dataSet/dog_cat sortieIA_40_8_3 40 8 3

benchTurn,consumptionRT,realTime,consumptioncPU,cpuTime
0,75098.068275,1670.829405,111360.951523,5362.143148
1,76999.155342,1535.296557,93623.116717,5327.682972
2,76855.312974,1533.437343,82222.004590,5318.937796
3,76963.129280,1531.675028,84377.615246,5298.938881
4,78380.558861,1532.347389,87036.289953,5317.325588

benchTurns,avgConsumptionRT,sdConsumptionRT,avgRealTime,sdRealTime,avgConsumptionCPU,sdConsumptionCPU,avgCpuTime,sdCpuTime
5,76859.244946,1043.697430,1560.717144,55.069758,91723.995606,10539.909114,5325.005677,20.792501

